#{"t_start": 1730352316.400602, "env_id": "None"}
r,l,t
894.458081,65,1.653227
1137.381892,62,1.851933
1271.079034,64,2.052264
1272.461129,58,2.234661
1115.896493,55,2.398108
824.373749,63,2.592156
1189.328095,43,2.72701
956.7181,65,2.94294
828.665765,57,3.128178
1151.470985,68,3.333701
-223.582367,79,3.603857
1120.705468,56,3.789022
-224.803231,72,4.021848
1225.563212,70,4.25541
1092.044175,58,4.443935
1340.44928,67,4.647882
1084.327752,70,4.862853
970.692229,72,5.095077
1223.422945,73,5.337267
1297.676446,75,5.577052
-295.051953,74,5.82083
-340.270433,76,6.066022
1196.288902,70,6.287096
-265.71018,78,6.54393
1265.548125,60,6.738991
-175.222578,60,6.939061
1298.088419,63,7.146087
-274.872373,55,7.325199
1113.001251,58,7.518117
1156.548085,47,7.675443
1252.650622,68,7.8977
1329.476223,76,8.135749
1197.199578,46,8.295714
985.30955,65,8.510221
924.875677,51,8.680428
1225.938288,57,8.873466
1029.591155,68,9.094922
-203.904118,71,9.32473
-40.386335,57,9.51273
-73.327896,60,9.715712
960.55077,75,9.95968
-255.544581,56,10.148571
1124.613678,40,10.287108
1017.513296,66,10.508786
1243.096433,50,10.67388
1037.31049,59,10.868489
-135.526594,62,11.071809
737.855775,81,11.325829
212.287922,75,11.568621
-373.497188,71,11.798521
1211.067755,49,11.957024
964.298811,60,12.154364
1262.515919,68,12.377635
1095.673872,67,12.595542
1234.601605,65,12.808501
1284.866482,62,13.010442
-78.942607,67,13.223729
1291.756368,70,13.451967
1100.782276,60,13.649605
1039.711355,57,13.837677
