#{"t_start": 1730359349.2159076, "env_id": "None"}
r,l,t
1022.366341,57,1.599466
1102.372854,58,1.784623
1094.073156,61,1.980604
23.413022,79,2.230088
-53.08406,40,2.365508
1095.720755,64,2.564068
985.207482,67,2.775254
1214.972721,69,2.985734
1143.888652,48,3.138312
1137.406888,61,3.330739
34.896468,81,3.605552
28.09659,43,3.752838
1008.446163,68,3.978756
879.148612,61,4.171956
943.658982,67,4.383127
-60.326862,77,4.627307
1133.937336,71,4.857842
1198.995019,50,5.035974
1282.630871,66,5.246562
1250.952016,73,5.479751
1029.621234,77,5.725404
995.000707,77,5.976531
1156.868658,53,6.144764
1318.688096,67,6.368381
857.985892,65,6.57642
998.55013,58,6.766674
932.309835,76,7.011199
101.733323,67,7.231099
803.192244,66,7.445433
1115.626936,69,7.659743
-141.296842,102,7.994929
-150.494737,102,8.30835
-119.162575,102,8.629815
-141.073532,102,8.948794
-298.396504,102,9.30842
-194.143438,102,9.682171
-131.946021,102,10.026107
-137.973433,102,10.341608
-126.952241,102,10.662548
-129.864793,102,10.962097
18.180878,69,49.96736
1178.680243,53,50.140703
133.896912,57,50.323663
171.547579,69,50.549536
-36.304633,60,50.743819
200.731732,61,50.937138
-241.644378,58,51.130612
-100.615158,77,51.377624
-249.292751,74,51.610809
741.602919,70,51.835791
