#{"t_start": 1730357078.2851436, "env_id": "None"}
r,l,t
941.320132,61,1.699181
1289.819703,66,1.907426
1083.835709,65,2.116997
1164.761585,65,2.317893
952.284398,53,2.482901
1189.815562,47,2.639033
989.830102,59,2.824414
1202.865369,52,2.990098
1036.591807,72,3.215649
1067.587113,62,3.414566
-102.650687,61,3.632573
1163.783985,63,3.833943
1046.671933,58,4.026985
1278.904658,69,4.243899
1325.487328,66,4.458637
-89.005613,67,4.677669
1130.098866,57,4.862908
912.721357,72,5.095188
148.800041,59,5.284712
1245.620267,66,5.493599
-283.646269,75,5.73438
50.4763,49,5.900584
1.080538,67,6.114562
1143.08666,64,6.326849
825.057872,65,6.538742
1220.53964,72,6.772631
1215.114736,56,6.959336
-334.500094,57,7.145929
1159.123833,47,7.296566
1272.16031,69,7.514556
1264.28316,62,7.712079
1249.830932,64,7.918614
1237.147174,53,8.088591
75.710125,61,8.288776
1242.624205,55,8.476129
-296.966028,66,8.69611
-59.859288,58,8.88157
804.851644,59,9.076437
870.225901,66,9.296334
1071.456453,54,9.469299
701.46019,63,9.683517
-249.800199,74,9.942168
1164.110181,53,10.122838
1184.089195,56,10.305878
988.295901,50,10.467397
1040.630959,71,10.69745
1047.650171,73,10.931334
1156.22999,64,11.139787
1182.079176,54,11.327363
879.197655,58,11.512991
166.922153,73,11.762455
-242.809425,67,11.983494
82.777092,44,12.130838
91.961745,68,12.336911
1320.71999,66,12.542215
1057.608387,61,12.736837
1134.768242,55,12.920918
-143.968754,44,13.06726
197.374989,66,13.282574
1129.314735,50,13.442076
