#{"t_start": 1730351065.546634, "env_id": "None"}
r,l,t
213.051004,72,1.94326
1054.894111,78,2.207246
1198.551056,70,2.436943
-146.217633,71,2.676983
69.445392,71,2.911649
1176.404187,46,3.066132
1234.258161,59,3.254772
1198.11322,56,3.441364
1123.887981,72,3.676581
-4.70303,51,3.848555
1200.209252,53,4.026125
1186.181847,64,4.241096
984.295282,79,4.500557
1096.866873,66,4.721515
1067.046877,60,4.91854
994.363267,57,5.110914
1231.822595,51,5.28003
1140.550811,45,5.431143
1139.638035,74,5.66237
1070.960802,47,5.816529
220.066098,65,6.032473
1137.507421,76,6.29012
-173.811275,58,6.502498
143.754929,67,6.735017
795.56852,68,6.957444
-234.293035,70,7.191451
1074.703455,70,7.415351
809.107622,59,7.614378
-122.566879,69,7.839298
70.898613,46,7.997473
29.630821,62,8.204286
1032.847102,77,8.452616
1181.515234,62,8.656939
116.379177,66,8.876032
1176.663227,77,9.127581
1026.750677,68,9.339006
107.479408,71,9.566246
66.451871,63,9.776257
1048.92573,65,9.987188
812.830263,64,10.197164
1130.143918,49,10.359295
881.529841,67,10.576093
1283.844302,65,10.777077
850.749118,72,11.024753
1255.077241,65,11.246014
61.85594,61,11.453321
1190.229092,42,11.593276
2.613169,76,11.839583
812.791963,57,12.024963
1114.953197,61,12.22888
