#{"t_start": 1730358480.8869355, "env_id": "None"}
r,l,t
1193.212582,68,1.603767
1329.574223,71,1.828938
1146.360593,72,2.070531
1181.504083,56,2.247993
1278.283784,64,2.451463
1043.53523,72,2.669742
1164.708383,60,2.853128
1055.48991,60,3.040347
1178.801931,76,3.283448
1001.291431,68,3.50613
41.736712,70,3.747778
174.767488,56,3.925194
1169.188725,62,4.125844
1157.137049,70,4.349171
-23.205542,54,4.527468
71.076265,65,4.736985
178.080388,69,4.956826
1314.918528,64,5.166737
1318.003815,70,5.395626
130.511494,66,5.620613
1193.012184,49,5.782122
1076.963936,57,5.973728
7.04004,41,6.114896
1125.569171,41,6.252433
1200.406732,71,6.480275
911.702591,58,6.671644
806.746141,64,6.877945
1096.799517,67,7.103971
1124.960087,74,7.342807
1223.592343,60,7.538745
1009.377798,57,7.725911
1042.725613,64,7.929473
968.616302,64,8.133734
59.200756,46,8.288221
796.549387,67,8.514733
1127.700412,48,8.672964
1118.515858,55,8.841206
1281.424774,74,9.061239
926.767382,70,9.289163
-22.483624,51,9.460342
983.200351,59,9.657726
1013.218088,61,9.853093
873.836198,76,10.096128
-165.524893,69,10.313058
-60.59482,53,10.489064
1154.899574,64,10.693032
1085.723342,60,10.890692
1239.261984,54,11.063748
67.325046,42,11.205337
-34.94388,61,11.40697
977.775667,69,11.630224
1347.05139,68,11.851285
783.554555,70,12.085923
1152.408981,54,12.255622
860.652067,56,12.434594
146.40095,61,12.630968
1158.939743,68,12.855768
1017.410646,67,13.070725
1063.354188,51,13.237954
991.394155,54,13.411924
-121.292377,102,13.745339
-125.71485,102,14.072085
-167.65521,102,14.402912
-122.303574,102,14.718562
-146.742833,102,15.054335
-107.45764,102,15.37169
-131.522542,102,15.711457
-521.164092,102,16.041665
-118.826868,102,16.364156
-113.986483,102,16.688398
-69.034525,53,194.630852
112.303253,60,194.819036
75.172868,46,194.970611
-67.027545,71,195.221269
-156.132798,49,195.395188
-67.020365,68,195.621119
-191.759714,48,195.778649
1192.798011,69,195.993559
98.385495,73,196.216721
-271.796917,63,196.416353
