#{"t_start": 1730358263.9122505, "env_id": "None"}
r,l,t
1196.754174,62,1.649249
971.378458,67,1.861742
895.104938,70,2.084406
1212.251573,61,2.279504
1088.975525,61,2.478085
889.519508,78,2.729287
1206.979176,79,2.977451
1115.44833,42,3.112075
997.399542,79,3.365215
1104.362832,61,3.560092
163.021929,72,3.80704
994.843142,49,3.975148
1200.145455,59,4.170643
1196.395897,49,4.325901
124.361039,62,4.532292
-44.768683,54,4.706339
89.613402,46,4.855383
1189.105602,67,5.069902
1327.297712,65,5.2772
1127.465163,44,5.422371
1188.595486,46,5.570958
-331.66013,76,5.815299
-217.641666,75,6.067922
891.045043,63,6.265391
1100.839202,54,6.440165
72.803388,44,6.582317
1125.970872,59,6.770276
1258.515543,74,7.00604
894.238448,62,7.209557
1249.414243,53,7.381763
1047.646776,58,7.572085
1042.130779,66,7.790959
901.36236,54,7.968255
1173.924081,64,8.173206
1146.869754,50,8.341374
940.854498,49,8.503968
1190.45888,65,8.709124
-85.335051,56,8.892278
1090.64445,65,9.101508
1027.387779,68,9.319387
1182.346988,43,9.462878
1098.960226,61,9.657336
1005.980779,65,9.872614
932.166979,77,10.123357
995.481782,58,10.319154
122.765157,63,10.526728
939.13085,62,10.7282
1194.528455,49,10.872518
-42.125122,60,11.070184
-39.838619,52,11.245641
1122.126651,69,11.465016
1135.387911,78,11.708956
1065.175805,62,11.910265
1152.942272,82,12.174394
1183.097456,71,12.400484
1186.745918,57,12.587878
1109.659982,66,12.798199
34.901145,62,12.994044
-30.967557,68,13.213338
-247.572058,53,13.387736
