#{"t_start": 1730358804.943067, "env_id": "None"}
r,l,t
1214.536688,73,1.662326
1008.885484,67,1.879112
1014.195536,74,2.113059
1125.891086,50,2.284183
791.112143,77,2.558932
1219.941159,79,2.815135
1231.835322,77,3.06692
1108.211614,57,3.245464
1092.383635,69,3.457478
1130.359402,67,3.674787
1226.646904,52,3.857167
718.634594,71,4.087034
67.746542,69,4.296672
1062.321717,56,4.480049
1203.651129,71,4.707895
1265.122727,68,4.921191
1157.963196,49,5.092409
1143.253764,53,5.264028
1230.16281,61,5.466606
1176.545753,42,5.616725
1246.859202,64,5.825847
1071.88353,55,6.011666
-80.732292,53,6.201864
54.22255,84,6.469431
1063.185521,44,6.616908
-189.141648,55,6.791243
949.345653,52,6.968242
-327.568073,64,7.180062
992.424108,60,7.393612
1114.907927,60,7.595745
1105.854774,63,7.79198
-253.711115,76,8.023304
1041.520338,70,8.243517
1196.5205,62,8.442288
1118.657009,57,8.624671
1191.347993,55,8.814729
1130.353982,44,8.982274
1140.836838,57,9.174627
1174.434262,45,9.328792
1128.439218,46,9.483763
-336.752299,75,9.726722
119.28836,78,10.006178
948.874465,72,10.260101
47.234368,45,10.427655
1201.502798,73,10.675814
1270.181027,57,10.868932
1196.575464,43,11.01906
1136.784313,54,11.197214
1355.956421,71,11.445021
1130.999452,75,11.701289
116.302529,49,11.8604
122.887268,44,12.032629
1172.959617,51,12.221042
1189.765325,64,12.43963
1193.974402,57,12.620631
1187.326966,73,12.842879
838.979555,58,13.022171
150.262864,71,13.247242
-1.473041,41,13.386239
1035.793256,59,13.593495
-111.220231,102,13.923204
-119.183377,102,14.234894
-125.945904,102,14.555056
-119.711924,102,14.860036
-119.443398,102,15.177623
-129.279328,102,15.496332
-117.661832,102,15.819541
-112.596519,102,16.144126
-129.625015,102,16.458119
-127.167925,102,16.772618
77.490042,56,34.190678
1072.39846,60,34.383447
4.074609,54,34.562192
49.973746,58,34.750044
-78.363107,63,34.970729
124.602226,71,35.197036
-247.459022,70,35.412328
-52.338852,58,35.59174
-167.099013,52,35.757201
1039.364833,63,35.965032
