#{"t_start": 1730358372.8484948, "env_id": "None"}
r,l,t
1185.024336,40,1.512933
1224.177179,61,1.707989
1173.360054,46,1.861455
1241.48655,73,2.100085
1153.373025,50,2.256691
1307.729257,65,2.461679
1183.328976,70,2.686907
1320.712365,68,2.896529
1223.027013,47,3.0368
1054.095036,44,3.180753
94.590757,46,3.336938
-37.362987,52,3.52439
967.259161,72,3.759795
1053.570936,52,3.933464
-114.7955,69,4.14773
1203.116637,66,4.355082
1078.22949,51,4.519367
986.691713,66,4.736001
-2.648717,78,4.992458
1147.430985,45,5.154749
1105.242342,46,5.310942
-256.957507,64,5.536554
1087.343489,59,5.744181
1144.046816,47,5.90129
143.911012,54,6.071878
1043.526069,75,6.314665
1120.885539,55,6.496157
1090.177296,65,6.708558
80.845089,50,6.877002
1189.642912,61,7.068547
139.874938,55,7.242568
1172.293676,78,7.495775
809.034368,70,7.721114
880.414343,57,7.906098
1.570843,53,8.076391
1146.831733,55,8.25182
110.726038,47,8.409288
817.063429,54,8.589089
1276.279119,69,8.808596
27.190447,54,8.986001
911.890214,62,9.189793
1171.291962,60,9.384741
1063.639301,42,9.528283
35.835628,54,9.709428
1209.570222,74,9.941685
1013.688625,67,10.155704
1113.495205,76,10.397887
1215.507585,72,10.626123
1137.097334,60,10.814229
1115.354148,68,11.036721
1271.091046,60,11.228764
68.991993,54,11.397927
1086.440614,59,11.584116
1049.992321,59,11.788465
858.893752,76,12.034647
1005.873311,70,12.259683
1136.27796,52,12.431145
1185.571368,68,12.653393
150.481183,82,12.912527
109.226433,70,13.139039
-109.001242,102,13.482087
-107.627089,102,13.805214
-278.977863,102,14.130894
-108.151864,102,14.436556
-106.624181,102,14.755415
-105.589347,102,15.066023
-109.025474,102,15.38035
-111.980005,102,15.704173
-108.732936,102,16.021011
-110.841046,102,16.331111
187.746717,72,16.838695
99.731332,47,16.989336
-279.336211,92,17.273368
94.07449,48,17.42445
50.485881,79,17.670473
-69.691164,91,17.960339
-197.434206,91,18.240316
-263.76013,88,18.514359
-5.089704,88,18.7987
-213.277859,94,19.087818
