#{"t_start": 1730358313.598839, "env_id": "None"}
r,l,t
1068.366403,51,1.569637
1034.507538,53,1.743643
802.980317,64,1.952637
1242.485554,51,2.115355
1158.71474,55,2.29353
961.898468,71,2.52173
1152.430823,43,2.667678
991.43431,59,2.865054
1269.559596,58,3.047969
1114.926412,57,3.227915
965.593151,64,3.450084
-134.188834,63,3.654953
1022.749274,64,3.872644
1301.156772,62,4.074764
1248.100145,68,4.30323
1103.316264,80,4.568103
239.745534,67,4.775177
966.721905,48,4.939598
-275.301558,63,5.138932
1089.65508,64,5.343843
1245.122759,76,5.578191
1230.932648,62,5.787129
1207.729533,54,5.964499
59.121823,75,6.200018
926.506621,60,6.388297
1007.937965,63,6.584645
172.838229,68,6.805932
1210.673766,48,6.966266
1226.816844,62,7.169771
1211.068411,54,7.3493
1111.355811,51,7.507801
1053.126126,62,7.717101
847.669541,66,7.939597
998.390668,61,8.137207
-18.899545,70,8.363413
709.063796,75,8.605267
1199.679655,63,8.819073
1122.002969,69,9.05369
49.520499,58,9.24674
-236.38954,75,9.489647
1024.071324,54,9.688513
1262.029061,62,9.887775
998.787215,67,10.105614
1064.00453,56,10.292598
1106.317666,66,10.507886
1080.064184,63,10.718482
-328.372195,85,10.997759
106.238049,49,11.162285
-394.850133,82,11.439647
96.725976,53,11.619698
-480.256901,73,11.863859
1151.878607,71,12.102041
1221.797373,61,12.306185
944.447219,59,12.506551
1046.268853,78,12.765886
45.626236,55,12.960741
1182.001414,62,13.164267
-227.13745,80,13.425318
1120.790264,60,13.624264
109.920012,65,13.848549
-109.131613,102,14.192782
-110.081252,102,14.516001
-106.66326,102,14.852024
-125.891036,102,15.183489
-107.171948,102,15.510076
-126.266508,102,15.841683
-110.024365,102,16.18001
-210.352057,102,16.514803
-107.493523,102,16.844459
-124.137382,102,17.168365
