#{"t_start": 1730352195.2163584, "env_id": "None"}
r,l,t
1188.023471,61,1.679655
1027.18065,65,1.884372
958.561508,57,2.070524
1155.409048,55,2.249748
1020.39343,64,2.448306
1063.687314,56,2.625536
1176.796679,82,2.87754
991.646187,68,3.093189
1018.867184,58,3.276493
1003.035147,65,3.473166
1044.095404,54,3.66259
31.214581,41,3.793751
1110.854273,48,3.944397
-240.86835,55,4.123073
-303.856923,84,4.392608
1171.442467,64,4.592896
781.442456,71,4.819868
703.98701,71,5.041395
961.929263,68,5.257413
-259.808993,81,5.515174
50.693656,56,5.701345
858.90787,63,5.904127
1162.503403,62,6.102136
778.470702,80,6.352304
1217.172271,62,6.549923
1227.465259,81,6.800038
1142.520151,54,6.973437
1234.584287,65,7.184385
914.213499,49,7.347952
1156.578532,40,7.478574
1232.152208,70,7.699234
728.701143,84,7.959858
1032.317565,78,8.204555
1104.220417,54,8.377995
1219.28593,70,8.597961
1164.534359,49,8.752698
990.903086,59,8.944043
-169.759529,69,9.16325
975.763124,71,9.394482
-110.876037,56,9.58585
1242.267274,64,9.795697
834.212602,67,10.025327
122.614581,47,10.173838
1169.199495,58,10.354228
1117.814208,73,10.583533
1195.91348,58,10.771289
803.230874,55,10.955704
949.019498,64,11.165011
101.238487,75,11.390928
-142.790262,65,11.587921
1157.071608,38,11.709952
1255.382874,62,11.898003
1171.639478,60,12.087594
1083.236656,41,12.221792
967.938556,69,12.439266
82.83775,38,12.563532
37.480693,66,12.772686
25.449808,66,12.985569
-50.600742,68,13.207322
1142.447409,48,13.360738
