#{"t_start": 1730358860.740331, "env_id": "None"}
r,l,t
1192.266574,54,1.608719
1188.635106,42,1.739059
1268.092889,59,1.92457
1052.784739,73,2.159441
1169.072805,64,2.371732
1195.779873,57,2.558732
1109.899527,68,2.785895
26.906785,78,3.030149
1168.98589,42,3.171155
1055.856712,55,3.351072
-3.995197,75,3.610459
1298.806635,65,3.852314
1227.706158,72,4.077487
-69.434091,65,4.285937
182.680598,66,4.497192
99.392647,60,4.692156
1321.211303,63,4.891054
1185.107422,61,5.08767
10.840205,45,5.244113
74.127733,38,5.371149
992.277314,54,5.546403
-21.953769,60,5.730617
937.910701,58,5.919613
1200.187129,48,6.080983
842.002505,55,6.26288
911.386717,71,6.489175
1277.677885,66,6.704667
1171.647121,38,6.83489
1139.157468,60,7.027679
106.215742,40,7.156734
1003.166018,46,7.319435
866.81717,80,7.576881
1104.94956,57,7.762034
1217.013529,55,7.945002
1013.76406,47,8.101845
-266.599422,68,8.318289
1031.143729,69,8.538854
1197.520672,48,8.701273
1274.830261,61,8.897114
977.783924,58,9.08612
974.446812,62,9.295165
233.359629,69,9.514902
1076.043312,50,9.676189
748.741651,77,9.923433
888.254369,56,10.103834
1256.860573,59,10.296764
1200.925373,64,10.507478
998.282079,67,10.725711
79.29418,77,10.967088
1041.269754,72,11.185361
1147.06386,56,11.363754
110.132282,42,11.505574
1209.509374,54,11.67996
1267.885759,55,11.851024
855.938799,77,12.094054
1211.834772,70,12.319835
-388.20981,69,12.546512
1241.146514,53,12.717947
46.969551,61,12.906867
1137.447229,52,13.068622
-140.170477,102,13.408722
-125.635331,102,13.731244
-132.365336,102,14.046243
-227.921322,102,14.378155
-113.015084,102,14.698495
-115.936774,102,15.012302
-125.878151,102,15.320242
-207.910927,102,15.661582
-271.577863,102,15.997145
-107.364761,102,16.311929
146.271657,63,103.927886
167.607717,66,104.1491
1146.890542,69,104.372309
974.957695,69,104.595614
875.713317,65,104.806367
1036.269961,54,104.979857
1070.713143,51,105.148815
957.294318,66,105.367153
1113.928036,70,105.590702
-217.074087,62,105.785269
