#{"t_start": 1730711106.112652, "env_id": "None"}
r,l,t
11170.721378,76,4.64852371162.341571,73,3.419972---269.556023,102,4.905661-2216.24263,76,7.5964-78.176.192314,102,9.413141-6769.904327,74,11.416269
-115.013826,70,12.51844187-14.034885,66,13.569-1-551.535618,102,14.2842836-76.92502,74,15.833454899.804306,76,16.69084
-2-386.188933,71,16.435152-46.458549,39,18.117051
-7.373085,50,18.515697
106.256247,60,19.573706
87.736156,43,20.081007
-368.087142,80,21.725143
-238.89708,59,23.373117
67.349533,55,23.789825
131.538597,63,24.783969-4-316.284183,63,25.230051114.288325,65,26.828346
73,142.31711,55,26.050362
8179.911372,67,26.250592
