#{"t_start": 1730359081.951339, "env_id": "None"}
r,l,t
847.747392,61,1.571782
1215.505096,55,1.759409
888.694203,52,1.928689
1048.003549,45,2.076028
1206.52727,48,2.236296
1214.740318,62,2.437442
1249.804766,52,2.606892
1090.680047,57,2.791309
1024.175285,64,2.998294
1202.262261,53,3.167761
1223.661286,62,3.37761
1224.936302,46,3.532588
1194.96179,64,3.737584
1181.060801,53,3.90346
1318.00758,68,4.11915
3.333405,49,4.281207
1021.652376,52,4.452502
9.67173,50,4.61301
1010.0506,47,4.768492
1279.863804,70,5.00125
1056.976053,46,5.155752
-126.620927,56,5.338345
997.524239,56,5.525434
-85.125516,60,5.723002
857.931378,57,5.906752
982.772432,55,6.088998
1207.162086,68,6.307295
1068.233493,59,6.49669
1101.806692,52,6.667194
1070.05035,55,6.846585
993.238436,58,7.025705
-0.287113,48,7.18118
1212.32788,62,7.38187
1255.60748,61,7.584235
1173.611168,47,7.738725
1190.756447,42,7.875311
5.404074,53,8.05248
1019.237447,71,8.277205
1144.522808,69,8.494478
945.92026,67,8.708704
38.241224,40,8.846176
-202.031934,65,9.060359
1152.560311,55,9.245814
1043.269872,75,9.488298
1192.424976,51,9.652847
-111.879274,78,9.898781
1081.375966,78,10.152955
92.931389,43,10.338547
-247.438732,76,10.647525
30.30797,71,10.940378
-219.084891,70,11.244455
-232.335015,52,11.468499
62.283697,45,11.671817
178.787288,65,11.95967
45.752302,48,12.175239
165.720338,63,12.449731
-161.03,64,12.728886
-41.805313,72,13.046531
168.692002,61,13.314891
186.980987,64,13.591121
-85.34163,57,13.840984
-117.85266,53,14.080825
96.663146,46,14.286362
48.06208,50,14.504313
43.894096,52,14.728562
66.102918,51,14.955647
25.70519,54,15.201739
44.794379,45,15.444487
112.842484,46,15.668666
128.07442,52,15.889485
142.670244,65,16.179594
105.8713,50,16.399468
195.239961,72,16.700194
107.769428,71,17.006985
226.237216,60,17.30036
174.609011,52,17.544169
67.113172,48,17.748501
11.501296,39,17.914999
95.013802,56,18.154715
-267.597653,71,18.480339
73.553732,36,18.638719
23.349008,68,18.91785
-165.504683,50,19.132207
159.073593,64,19.405747
151.136325,48,19.606313
81.308331,51,19.818826
17.219163,54,20.043734
-199.850229,68,20.321658
40.218852,50,20.542927
86.175755,57,20.795739
141.28537,60,21.06705
-79.310967,57,21.304959
-197.289537,54,21.53079
106.262484,68,21.812097
14.011617,45,22.020256
-221.23979,74,22.324116
-2.70274,56,22.52546
156.780844,67,22.787554
-193.929149,65,23.041382
137.347158,60,23.272388
141.37895,47,23.45543
107.770222,41,23.614549
-126.217304,63,23.856814
-206.792347,71,24.130936
-277.256227,73,24.4375
-189.424683,52,24.653761
-306.542344,71,24.924744
-133.187541,68,25.202975
91.905435,67,25.472249
21.477784,62,25.722977
-137.092293,102,26.152466
-165.553976,102,26.554493
-151.051223,102,26.952245
-139.284111,102,27.350843
-570.693969,102,27.766408
-145.438424,102,28.172837
-187.64955,102,28.581281
-133.071986,102,28.974871
-510.922008,102,29.402775
-185.058548,102,29.808086
35.385524,51,188.487022
-24.469672,64,188.747307
61.59777,66,189.015301
-129.639951,54,189.233557
94.951156,39,189.395815
-214.483667,78,189.710076
-299.180048,53,189.930159
59.317402,52,190.143616
193.664249,64,190.408686
-78.554308,46,190.597333
